216914,R216914,11803,PH Q3 2020,8002,PIZZA  HUT,1404 MERRITT BLVD,,BALTIMORE,MD,21222,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216915,R216915,11803,PH Q3 2020,9024,PIZZA  HUT,350 E PULASKI HWY,,ELKTON,MD,21921,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216916,R216916,11803,PH Q3 2020,23525,PIZZA  HUT,17982 MAIN ST,,DUMFRIES,VA,22026,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216917,R216917,11803,PH Q3 2020,5557,PIZZA  HUT,1224 POWHATAN ST,,FREDERICKSBURG,VA,22401,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216918,R216918,11803,PH Q3 2020,7608,PIZZA  HUT,2883 JEFFERSON DAVIS HWY,,STAFFORD,VA,22554,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216919,R216919,11803,PH Q3 2020,29757,PIZZA  HUT,35 WALPOLE ST,STE 101 ,STAFFORD,VA,22554,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216920,R216920,11803,PH Q3 2020,9619,PIZZA  HUT,25092 LANKFORD HWY,,ONLEY,VA,23418,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216921,R216921,11803,PH Q3 2020,24967,PIZZA  HUT,1226 SMITHFIELD PLZ,,SMITHFIELD,VA,23430,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216922,R216922,11803,PH Q3 2020,24965,PIZZA  HUT,1110 N MAIN ST,,SUFFOLK,VA,23434,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216923,R216923,11803,PH Q3 2020,4499,PIZZA  HUT,9700 ROGERS RD,,NORFOLK,VA,23511,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216924,R216924,11803,PH Q3 2020,24958,PIZZA  HUT,829 E ATLANTIC ST,,SOUTH HILL,VA,23970,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216925,R216925,11803,PH Q3 2020,7469,PIZZA  HUT,806 WENONAH AVE,,PEARISBURG,VA,24134,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216926,R216926,11803,PH Q3 2020,7918,PIZZA  HUT,380 TANYARD RD,,ROCKY MOUNT,VA,24151,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216927,R216927,11803,PH Q3 2020,7426,PIZZA  HUT,5180 Dickenson Hwy,,CLINTWOOD,VA,24228,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216928,R216928,11803,PH Q3 2020,6947,PIZZA  HUT,495 FRONT ST,,COEBURN,VA,24230,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216929,R216929,11803,PH Q3 2020,7311,PIZZA  HUT,635 W Main St,,LEBANON,VA,24266,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216930,R216930,11803,PH Q3 2020,6655,PIZZA  HUT,951 E STUART DR,,GALAX,VA,24333,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216931,R216931,11803,PH Q3 2020,6898,PIZZA  HUT,150 OAKVILLE RD,,APPOMATTOX,VA,24522,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216932,R216932,11803,PH Q3 2020,9235,PIZZA  HUT,1498 SMOOT AVE,,DANVILLE,WV,25053,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216933,R216933,11803,PH Q3 2020,13735,PIZZA  HUT,80 MICHIGAN AVE,,SMITHERS,WV,25186,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216934,R216934,11803,PH Q3 2020,27288,PIZZA  HUT,1323 LAKEVIEW DR,,PARKERSBURG,WV,26104,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216935,R216935,11803,PH Q3 2020,31528,PIZZA  HUT,1708 ADAMS AVE,,CLARKSBURG,WV,26301,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216936,R216936,11803,PH Q3 2020,11436,PIZZA  HUT,2430 LEWISVILLE CLEMMONS RD,,CLEMMONS,NC,27012,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216937,R216937,11803,PH Q3 2020,24618,PIZZA  HUT,1009 HIGHWAY ST,,MADISON,NC,27025,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216938,R216938,11803,PH Q3 2020,12755,PIZZA  HUT,2721 PETERS CREEK PKWY,,WINSTON SALEM,NC,27127,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216939,R216939,11803,PH Q3 2020,11153,PIZZA  HUT,1315 E DIXIE DR,,ASHEBORO,NC,27203,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216940,R216940,11803,PH Q3 2020,14401,PIZZA  HUT,129 LOWES BLVD,,LEXINGTON,NC,27292,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216941,R216941,11803,PH Q3 2020,9746,PIZZA  HUT,1572 NC HIGHWAY 56,Dutch Village Shpg. Ctr,CREEDMOOR,NC,27522,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216942,R216942,11803,PH Q3 2020,7060,PIZZA  HUT,2518 E ASH ST,,GOLDSBORO,NC,27534,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216943,R216943,11803,PH Q3 2020,11150,PIZZA  HUT,1549 N MAIN ST,,LILLINGTON,NC,27546,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216944,R216944,11803,PH Q3 2020,7509,PIZZA  HUT,116 S BICKETT BLVD ,,LOUISBURG,NC,27549,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216945,R216945,11803,PH Q3 2020,9749,PIZZA  HUT,12269 CAPITAL BLVD,,WAKE FOREST,NC,27587,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216946,R216946,11803,PH Q3 2020,9486,PIZZA  HUT,151 WAKELON ST,,ZEBULON,NC,27597,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216947,R216947,11803,PH Q3 2020,13202,PIZZA  HUT,1522 JEFFREYS RD,,ROCKY MOUNT,NC,27804,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216948,R216948,11803,PH Q3 2020,7491,PIZZA  HUT,1402 WESTERN BLVD,,TARBORO,NC,27886,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216949,R216949,11803,PH Q3 2020,6606,PIZZA  HUT,1209 W EHRINGHAUS ST,,ELIZABETH CITY,NC,27909,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216950,R216950,11803,PH Q3 2020,12327,PIZZA  HUT,100 CLAIRE DR,,EDENTON,NC,27932,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216951,R216951,11803,PH Q3 2020,8575,PIZZA  HUT,204 US HIGHWAY 64,,MANTEO,NC,27954,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216952,R216952,11803,PH Q3 2020,13929,PIZZA  HUT,701 US 52 N,,ALBEMARLE,NC,28001,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216953,R216953,11803,PH Q3 2020,14493,PIZZA  HUT,685 PARK ST,,BELMONT,NC,28012,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216954,R216954,11803,PH Q3 2020,6616,PIZZA  HUT,697 CHURCH ST N,,CONCORD,NC,28025,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216955,R216955,11803,PH Q3 2020,24239,PIZZA  HUT,3420 US HIGHWAY 601,STE 110,CONCORD,NC,28025,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216956,R216956,11803,PH Q3 2020,9522,PIZZA  HUT,740 CABARRUS AVE W,,CONCORD,NC,28027,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216957,R216957,11803,PH Q3 2020,6583,PIZZA  HUT,786 S CHURCH ST,,FOREST CITY,NC,28043,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216958,R216958,11803,PH Q3 2020,14486,PIZZA  HUT,832 S CHESTER ST,,GASTONIA,NC,28052,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216959,R216959,11803,PH Q3 2020,22344,PIZZA  HUT,5465 NC HIGHWAY 49 S,,HARRISBURG,NC,28075,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216960,R216960,11803,PH Q3 2020,6776,PIZZA  HUT,1031 Shelby Rd,,KINGS MOUNTAIN,NC,28086,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216961,R216961,11803,PH Q3 2020,6557,PIZZA  HUT,1013 W ROOSEVELT BLVD,,MONROE,NC,28110,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216962,R216962,11803,PH Q3 2020,8979,PIZZA  HUT,2111 W ROOSEVELT BLVD,,MONROE,NC,28110,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216963,R216963,11803,PH Q3 2020,6468,PIZZA  HUT,650 E DIXON BLVD,,SHELBY,NC,28152,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216964,R216964,11803,PH Q3 2020,14485,PIZZA  HUT,3215 FREEDOM DR,,CHARLOTTE,NC,28208,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216965,R216965,11803,PH Q3 2020,14535,PIZZA  HUT,3734 W W T HARRIS BLVD,,CHARLOTTE,NC,28269,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
216966,R216966,11803,PH Q3 2020,11148,PIZZA  HUT,332 N REILLY RD,,FAYETTEVILLE,NC,28303,1,108-010,6/22/2020,CHRISTINE EMARINE,UPS GROUND
