SHIP TO NAME	STORE NUMBER	CONCEPT CODE	ADDRESS 1	ADDRESS 2	CITY	STATE	ZIP	TAX AREA CODE	TAX EXPLANATION CODE
WIENERSCHNITZEL #023	23	WSZ	3695 CENTRAL AVE		RIVERSIDE	CA	92506	CA15	S
WIENERSCHNITZEL #036	36	WSZ	9595 MAGNOLIA AVE		RIVERSIDE	CA	92503	CA15	S
WIENERSCHNITZEL #343	343	WSZ	1246 UNIVERSITY AVE		RIVERSIDE	CA	92507	CA15	S
WIENERSCHNITZEL #450	450	WSZ	3850 LA SIERRA AVE		RIVERSIDE	CA	92505	CA15	S
WIENERSCHNITZEL #0532	532	WSZ	5775 VAN BUREN BLVD		RIVERSIDE	CA	92503	CA15	S
WIENERSCHNITZEL #697	697	WSZ	7460 MISSION GROVE PKWY S		RIVERSIDE	CA	92508	CA15	S
WIENERSCHNITZEL #721	721	WSZ	6427 DAY ST		RIVERSIDE	CA	92507	CA15	S
WIENERSCHNITZEL #817	817	WSZ	10207 SAN SEVAINE WAY		JURUPA VALLEY	CA	91752	CA10	S
WIENERSCHNITZEL #144	144	WSZ	7434 GARVEY AVE		ROSEMEAD	CA	91770	CA25	S
WIENERSCHNITZEL #464	464	WSZ	898 SUNRISE AVE		ROSEVILLE	CA	95661	CA10	S
WIENERSCHNITZEL #0131	131	WSZ	845 EL CAMINO AVE		SACRAMENTO	CA	95815	CA15	S
WIENERSCHNITZEL #154	154	WSZ	5100 AUBURN BLVD		SACRAMENTO	CA	95841	CA15	S
WIENERSCHNITZEL #263	263	WSZ	2737 ARDEN WAY		SACRAMENTO	CA	95825	CA15	S
WIENERSCHNITZEL #317	317	WSZ	5980 STOCKTON BLVD		SACRAMENTO	CA	95824	CA15	S
WIENERSCHNITZEL #514	514	WSZ	2501 BROADWAY		SACRAMENTO	CA	95818	CA15	S
WIENERSCHNITZEL #0617	617	WSZ	3591 BRADSHAW RD		SACRAMENTO	CA	95827	CA15	S
WIENERSCHNITZEL #782	782	WSZ	2961 ADVANTAGE LN		SACRAMENTO	CA	95834	CA15	S
WIENERSCHNITZEL #806	806	WSZ	2464 FLORIN ROAD		SACRAMENTO	CA	95822	CA15	S
WIENERSCHNITZEL #193	193	WSZ	711 E ALISAL ST		SALINAS	CA	93905	CA23	S
WIENERSCHNITZEL #279	279	WSZ	1346 S MAIN ST		SALINAS	CA	93901	CA23	S
WIENERSCHNITZEL #027	27	WSZ	1102 S WATERMAN AVE		SAN BERNARDINO	CA	92408	CA28	S
WIENERSCHNITZEL #370	370	WSZ	494 S E ST		SAN BERNARDINO	CA	92401	CA28	S
WIENERSCHNITZEL #667	667	WSZ	4394 UNIVERSITY PKWY		SAN BERNARDINO	CA	92407	CA28	S
WIENERSCHNITZEL #013	13	WSZ	4530 EL CAJON		SAN DIEGO	CA	92115	CA10	S
WIENERSCHNITZEL #014	14	WSZ	2669 GARNET AVE		SAN DIEGO	CA	92109	CA10	S
WIENERSCHNITZEL #032	32	WSZ	1852 ROSECRANS ST		SAN DIEGO	CA	92106	CA10	S
WIENERSCHNITZEL #153	153	WSZ	4393 CONVOY ST		SAN DIEGO	CA	92111	CA10	S
WIENERSCHNITZEL #122	122	WSZ	702 N 4TH ST		SAN JOSE	CA	95112	CA23	S
WIENERSCHNITZEL #129	129	WSZ	902 E SANTA CLARA ST		SAN JOSE	CA	95116	CA23	S
WIENERSCHNITZEL #134	134	WSZ	935 S 1ST ST		SAN JOSE	CA	95110	CA23	S
WIENERSCHNITZEL #156	156	WSZ	2844 STORY RD		SAN JOSE	CA	95127	CA23	S
WIENERSCHNITZEL #355	355	WSZ	411 N CAPITOL AVE		SAN JOSE	CA	95133	CA23	S
WIENERSCHNITZEL #366	366	WSZ	845 BRANHAM LN		SAN JOSE	CA	95136	CA23	S
WIENERSCHNITZEL #059	59	WSZ	230 N GAFFEY ST		SAN PEDRO	CA	90731	CA25	S
WIENERSCHNITZEL #348	348	WSZ	1401 W MACARTHUR BLVD		SANTA ANA	CA	92704	CA23	S
WIENERSCHNITZEL #0683	683	WSZ	752 E DYER RD		SANTA ANA	CA	92705	CA23	S
WIENERSCHNITZEL #41	41	WSZ	75 SARATOGA AVE		SANTA CLARA	CA	95051	CA20	S
WIENERSCHNITZEL #266	266	WSZ	500 E MAIN ST		SANTA MARIA	CA	93454	CA15	S
WIENERSCHNITZEL #065	65	WSZ	3010 PICO BLVD		SANTA MONICA	CA	90405	CA26	S
WIENERSCHNITZEL #424	424	WSZ	9650 MISSION GORGE RD		SANTEE	CA	92071	CA10	S
WIENERSCHNITZEL #312	312	WSZ	1508 E LOS ANGELES AVE		SIMI VALLEY	CA	93065	CA06	S
WIENERSCHNITZEL #043	43	WSZ	5141 IMPERIAL HWY		SOUTH GATE	CA	90280	CA26	S
WIENERSCHNITZEL #85	85	WSZ	3328 FIRESTONE BLVD		SOUTH GATE	CA	90280	CA26	S
WIENERSCHNITZEL #413	413	WSZ	3523 SWEETWATER SPRINGS BLVD		SPRING VALLEY	CA	91978	CA10	S
WIENERSCHNITZEL #362	362	WSZ	1107 W MARCH LN		STOCKTON	CA	95207	CA20	S
HAMBURGER STAND #485	485	WSZ	4105 E MAIN ST		STOCKTON	CA	95215	CA20	S
WIENERSCHNITZEL #518	518	WSZ	5950 NORTH HIGHWAY 99		STOCKTON	CA	95212	CA20	S
WIENERSCHNITZEL #815	815	WSZ	32032 TEMECULA PKWY		TEMECULA	CA	92592	CA15	S
WIENERSCHNITZEL #38	38	WSZ	1125 W CARSON ST		TORRANCE	CA	90502	CA25	S
WIENERSCHNITZEL #509	509	WSZ	2780 PACIFIC COAST HWY		TORRANCE	CA	90505	CA25	S
WIENERSCHNITZEL #704	704	WSZ	1352 W 190TH ST		TORRANCE	CA	90501	CA25	S
WIENERSCHNITZEL #0670	670	WSZ	2870 W GRANT LINE RD		TRACY	CA	95304	CA12	S
WIENERSCHNITZEL #827	827	WSZ	25456 S SCHULTE RD		TRACY	CA	95377	CA12	S
WIENERSCHNITZEL#864	864	WSZ	2675 COUNTRYSIDE DR		TURLOCK	CA	95380	CA14	S
WIENERSCHNITZEL #287	287	WSZ	105 EL CAMINO REAL		TUSTIN	CA	92780	CA10	S
WIENERSCHNITZEL #543	543	WSZ	1381 E FOOTHILL BLVD		UPLAND	CA	91786	CA10	S
WIENERSCHNITZEL #421	421	WSZ	149 PEABODY RD		VACAVILLE	CA	95687	CA13	S
WIENERSCHNITZEL #314	314	WSZ	2172 HARBOR BLVD		VENTURA	CA	93001	CA10	S
WIENERSCHNITZEL #555	555	WSZ	15014 BEAR VALLEY RD		VICTORVILLE	CA	92395	CA10	S
WIENERSCHNITZEL #808	808	WSZ	12951 HESPERIA RD #2		VICTORVILLE	CA	92395	CA10	S
WIENERSCHNITZEL #822	822	WSZ	14485 SEVENTH ST		VICTORVILLE	CA	92395	CA10	S
WIENERSCHNITZEL #824	824	WSZ	1400 E. NOBLE AVENUE		VISALIA	CA	93292	CA17	S
WIENERSCHNITZEL #177	177	WSZ	13872 GOLDENWEST ST		WESTMINSTER	CA	92683	CA15	S
WIENERSCHNITZEL #344	344	WSZ	15753 LEFFINGWELL RD		WHITTIER	CA	90604	CA26	S
WIENERSCHNITZEL #481	481	WSZ	10810 BEVERLY BLVD		WHITTIER	CA	90601	CA26	S
WIENERSCHNITZEL #831	831	WSZ	13543 FLORENCE AVE		WHITTIER	CA	90605	CA26	S
WIENERSCHNITZEL #001	1	WSZ	900 W PACIFIC COAST HWY		WILMINGTON	CA	90744	CA25	S
WIENERSCHNITZEL #0433	433	WSZ	103 W MAIN ST		WOODLAND	CA	95695	CA28	S
WIENERSCHNITZEL #470	470	WSZ	1245 BRIDGE ST		YUBA CITY	CA	95991	CA06	S
WIENERSCHNITZEL #587	587	WSZ	34852 YUCAIPA BLVD		YUCAIPA	CA	92399	CA10	S
HAMBURGER STAND #646	646	WSZ	938 S HAVANA ST		AURORA	CO	80012	CO05	S
HAMBURGER STAND #167	167	WSZ	1205 FEDERAL BLVD		DENVER	CO	80204	CO05	S
HAMBURGER STAND #82	82	WSZ	3100 S BROADWAY		ENGLEWOOD	CO	80113	CO05	S
WIENERSCHNITZEL #823	823	WSZ	1650 Hwy 6 & 50		FRUITA	CO	81521	CO08	S
WIENERSCHNITZEL #171	171	WSZ	2550 NORTH AVE		GRAND JUNCTION	CO	81501	CO08	S
WIENERSCHNITZEL #810	810	WSZ	331 N 1ST ST		GRAND JUNCTION	CO	81501	CO08	S
HAMBURGER STAND #179	179	WSZ	1495 HOLLAND ST		LAKEWOOD	CO	80215	CO10	S
WIENERSCHNITZEL #814	814	WSZ	1440 N TOWNSEND AVE		MONTROSE	CO	81401	CO09	S
